city,species,count
Anaheim,Lagerstroemia indica,3771
Anaheim,Liquidambar styraciflua,1491
Anaheim,Lophostemon confertus,1609
Anaheim,Magnolia grandiflora,5266
Anaheim,Metrosideros excelsa,179
Anaheim,Pinus canariensis,2317
Anaheim,Pistacia chinensis,1123
Anaheim,Platanus acerifolia,1264
Anaheim,Prunus L.,0
Anaheim,Pyrus calleryana,320
Anaheim,Quercus,25
Anaheim,Quercus lobata,2
Anaheim,Sequoia sempervirens,12
Anaheim,Syagrus romanzoffianum,1706
Anaheim,Tristaniopsis laurina,322
Anaheim,Washingtonia robusta,4385
Ontario,Abies,0
Ontario,Cedrus deodara,543
Ontario,Cinnamomum camphora,3900
Ontario,Cupaniopsis anacardioides,1108
Ontario,Eucalyptus globulus,212
Ontario,Eucalyptus maculata,333
Ontario,Gleditsia triacanthos,107
Ontario,Lagerstroemia indica,4630
Ontario,Liquidambar styraciflua,4392
Ontario,Lophostemon confertus,0
Ontario,Magnolia grandiflora,1214
Ontario,Metrosideros excelsa,4
Ontario,Pinus canariensis,3307
Ontario,Pistacia chinensis,1343
Ontario,Platanus acerifolia,3328
Ontario,Prunus L.,0
Ontario,Pyrus calleryana,2793
Ontario,Quercus,0
Ontario,Quercus lobata,1
Ontario,Sequoia sempervirens,161
Ontario,Syagrus romanzoffianum,0
Ontario,Tristaniopsis laurina,1
Ontario,Washingtonia robusta,1588
Oakland,Abies,2
Oakland,Cedrus deodara,2
Oakland,Cinnamomum camphora,522
Oakland,Cupaniopsis anacardioides,0
Oakland,Eucalyptus globulus,15
Oakland,Eucalyptus maculata,0
Oakland,Gleditsia triacanthos,224
Oakland,Lagerstroemia indica,1953
Oakland,Liquidambar styraciflua,3312
Oakland,Lophostemon confertus,632
Oakland,Magnolia grandiflora,1375
Oakland,Metrosideros excelsa,122
Oakland,Pinus canariensis,6
Oakland,Pistacia chinensis,1150
Oakland,Platanus acerifolia,3788
Oakland,Prunus L.,2930
Oakland,Pyrus calleryana,2683
Oakland,Quercus,479
Oakland,Quercus lobata,4
Oakland,Sequoia sempervirens,48
Oakland,Syagrus romanzoffianum,16
Oakland,Tristaniopsis laurina,313
Oakland,Washingtonia robusta,274
Huntington Beach,Abies,0
Huntington Beach,Cedrus deodara,83
Huntington Beach,Cinnamomum camphora,304
Huntington Beach,Cupaniopsis anacardioides,1431
Huntington Beach,Eucalyptus globulus,299
Huntington Beach,Eucalyptus maculata,0
Huntington Beach,Gleditsia triacanthos,10394
Huntington Beach,Lagerstroemia indica,3896
Huntington Beach,Liquidambar styraciflua,170
Huntington Beach,Lophostemon confertus,1453
Huntington Beach,Magnolia grandiflora,372
Huntington Beach,Metrosideros excelsa,936
Huntington Beach,Pinus canariensis,1352
Huntington Beach,Pistacia chinensis,67
Huntington Beach,Platanus acerifolia,574
Huntington Beach,Prunus L.,0
Huntington Beach,Pyrus calleryana,1233
Huntington Beach,Quercus,1
Huntington Beach,Quercus lobata,8
Huntington Beach,Sequoia sempervirens,70
Huntington Beach,Syagrus romanzoffianum,4681
Huntington Beach,Tristaniopsis laurina,1094
Huntington Beach,Washingtonia robusta,4037
Irvine,Abies,0
Irvine,Cedrus deodara,95
Irvine,Cinnamomum camphora,1333
Irvine,Cupaniopsis anacardioides,1244
Irvine,Eucalyptus globulus,3948
Irvine,Eucalyptus maculata,3830
Irvine,Gleditsia triacanthos,0
Irvine,Lagerstroemia indica,1390
Irvine,Liquidambar styraciflua,1773
Irvine,Lophostemon confertus,0
Irvine,Magnolia grandiflora,530
Irvine,Metrosideros excelsa,529
Irvine,Pinus canariensis,4578
Irvine,Pistacia chinensis,0
Irvine,Platanus acerifolia,1195
Irvine,Prunus L.,0
Irvine,Pyrus calleryana,0
Irvine,Quercus,0
Irvine,Quercus lobata,0
Irvine,Sequoia sempervirens,8
Irvine,Syagrus romanzoffianum,0
Irvine,Tristaniopsis laurina,2
Irvine,Washingtonia robusta,542
Garden Grove,Abies,0
Garden Grove,Cedrus deodara,32
Garden Grove,Cinnamomum camphora,98
Garden Grove,Cupaniopsis anacardioides,1438
Garden Grove,Eucalyptus globulus,93
Garden Grove,Eucalyptus maculata,10
Garden Grove,Gleditsia triacanthos,125
Garden Grove,Lagerstroemia indica,2358
Garden Grove,Liquidambar styraciflua,365
Garden Grove,Lophostemon confertus,1643
Garden Grove,Magnolia grandiflora,696
Garden Grove,Metrosideros excelsa,55
Garden Grove,Pinus canariensis,1049
Garden Grove,Pistacia chinensis,11
Garden Grove,Platanus acerifolia,593
Garden Grove,Prunus L.,0
Garden Grove,Pyrus calleryana,467
Garden Grove,Quercus,0
Garden Grove,Quercus lobata,0
Garden Grove,Sequoia sempervirens,4
Garden Grove,Syagrus romanzoffianum,897
Garden Grove,Tristaniopsis laurina,22
Garden Grove,Washingtonia robusta,596
Fresno,Abies,0
Fresno,Cedrus deodara,749
Fresno,Cinnamomum camphora,153
Fresno,Cupaniopsis anacardioides,0
Fresno,Eucalyptus globulus,0
Fresno,Eucalyptus maculata,0
Fresno,Gleditsia triacanthos,0
Fresno,Lagerstroemia indica,184
Fresno,Liquidambar styraciflua,6
Fresno,Lophostemon confertus,0
Fresno,Magnolia grandiflora,0
Fresno,Metrosideros excelsa,0
Fresno,Pinus canariensis,0
Fresno,Pistacia chinensis,713
Fresno,Platanus acerifolia,294
Fresno,Prunus L.,0
Fresno,Pyrus calleryana,55
Fresno,Quercus,4
Fresno,Quercus lobata,588
Fresno,Sequoia sempervirens,124
Fresno,Syagrus romanzoffianum,0
Fresno,Tristaniopsis laurina,0
Fresno,Washingtonia robusta,0
Santa Rosa,Abies,155
Santa Rosa,Cedrus deodara,0
Santa Rosa,Cinnamomum camphora,0
Santa Rosa,Cupaniopsis anacardioides,0
Santa Rosa,Eucalyptus globulus,0
Santa Rosa,Eucalyptus maculata,0
Santa Rosa,Gleditsia triacanthos,0
Santa Rosa,Lagerstroemia indica,0
Santa Rosa,Liquidambar styraciflua,1
Santa Rosa,Lophostemon confertus,0
Santa Rosa,Magnolia grandiflora,0
Santa Rosa,Metrosideros excelsa,0
Santa Rosa,Pinus canariensis,0
Santa Rosa,Pistacia chinensis,0
Santa Rosa,Platanus acerifolia,87
Santa Rosa,Prunus L.,0
Santa Rosa,Pyrus calleryana,0
Santa Rosa,Quercus,468
Santa Rosa,Quercus lobata,0
Santa Rosa,Sequoia sempervirens,203
Santa Rosa,Syagrus romanzoffianum,0
Santa Rosa,Tristaniopsis laurina,0
Santa Rosa,Washingtonia robusta,0
